名前,フリガナ,ログインID,パスワード,入社日,勤続年数,郵便番号,住所,電話番号,生年月日,年齢,社会保険,雇用保険,雇用保険被保険者番号,退職日,社会保険損失,雇用保険損失,デスクネッツパスワード,共有　ユーザ名,共有　パスワード,メールアドレス
田中セイシャ,タナカセイシャ,user,pass,2022/01/28,0年0ヵ月,4570001,愛知県名古屋市港区,"=""09062139487""",1964/01/23,58,加入済み,加入済み,1234-123456-1,,未損失,未損失,dpass,suser,spass,a@a
鈴木パート,スズキパート,user2,pass2,2021/01/13,1年0ヵ月,4570545,愛知県名古屋市熱田区,"=""08015426589""",1994/07/14,27,未加入,未加入,,,未損失,未損失,dpass,suser,spass,b@b
毛利タイシャ,モウリタイシャ,user3,pass3,2012/03/08,9年11ヵ月,4570444,三重県津市tututu,"=""08015426589""",1990/01/16,32,加入済み,加入済み,9874-154665-1,2022-01-29,損失済み,損失済み,dpass,suser,spass,c@c
江戸川カンリ,エドガワカンリ,user4,pass4,2017/01/11,5年0ヵ月,4570111,青森県青森市北区,"=""08015112222""",1990/01/04,32,加入済み,加入済み,9874-456987-1,,未損失,未損失,dpass,suser,spass,d@d
新規社員(user9),,user9,pass9,,,000-00,,"=""""",,,未加入,未加入,0000-000000-0,,未損失,未損失,,,,
新規社員(user88),,user88,pass88,,,000-00,,"=""""",,,未加入,未加入,0000-000000-0,,未損失,未損失,,,,
新規社員(ff),,ff,ss,,,000-00,,"=""""",,,未加入,未加入,0000-000000-0,,未損失,未損失,,,,
新規社員(user0),,user0,pass0,,,000-00,,"=""""",,,未加入,未加入,0000-000000-0,,未損失,未損失,,,,
新規社員(ssss),,ssss,sssff,,,000-00,,"=""""",,,未加入,未加入,0000-000000-0,,未損失,未損失,,,,
新規社員(i),,i,x,,,000-00,,"=""""",,,未加入,未加入,0000-000000-0,,未損失,未損失,,,,
新規社員(rr),,rr,r,,,000-00,,"=""""",,,未加入,未加入,0000-000000-0,,未損失,未損失,,,,
新規社員(ee),,ee,ee,,,000-00,,"=""""",,,未加入,未加入,0000-000000-0,,未損失,未損失,,,,
新規社員(ff),,ff,vd,,,000-00,,"=""""",,,未加入,未加入,0000-000000-0,,未損失,未損失,,,,
